Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,370,20220712,9:28,10:00
1,0,0,20220712,10:03,10:34
2,1,370,20220712,11:04,11:34
2,0,0,20220712,11:37,12:10
3,1,370,20220712,13:36,14:06
3,0,0,20220712,14:11,14:41
4,1,370,20220712,15:14,15:51
4,0,0,20220712,15:53,16:27
5,1,354,20220714,8:59,9:36
5,0,0,20220714,9:38,10:11
6,1,354,20220714,10:44,11:16
6,0,0,20220714,11:20,11:54
7,1,354,20220714,13:45,14:17
7,0,0,20220714,14:20,14:55
8,1,354,20220714,15:34,16:10
8,0,0,20220714,16:12,16:48